Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Lithuania,LTU,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,1.087749943,3.431368034,5.830389432,5.654300567,5.898905991,7.869109694,7.578995991,8.799918851,6.616134301,10.14334289,11.31839669,12.01326817,11.49599502,12.19863677,..,..,..,..
Lithuania,LTU,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,0.204429999,0.128560007,0.491959989,0.369260013,0.091559999,0.168290004,0.029100001,0.154609993,0.189239994,4.149980068,2.147160053,0.263619989,0.397069991,0.441460013,0.565729976,0.082709998,..,..
Lithuania,LTU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,42.257,47.489,23.584,20.575,20.088,20.754,20.307,20.218,20.309,19.239,18.765,12.652,11.745,10.518,8.466,6.867,6.23,5.854,..,..
Lithuania,LTU,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,54.53095086,46.20293555,46.02744097,40.53924697,41.54913848,45.26164646,44.52297384,43.01052967,42.63422417,46.8590859,47.05412741,47.50878314,46.99457042,46.9222169,46.50341831,45.89456869,..,..
Lithuania,LTU,Agricultural land (sq. km),AG.LND.AGRI.K2,33890,33890,34180,28960,28850,25410,26043,28370,27907,26959,26721,29353,29470,29750,29428,29378,29113,28730,..,..
Lithuania,LTU,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,28.25,26.46,31.85,36.69,42.57,44.42,42.76,31.38,26.79,28.06,28.02,2.33,1.87,2.19,2.27,2.14,2.87,4.51,..,..
Lithuania,LTU,"Air transport, passengers carried",IS.AIR.PSGR,..,..,283836,304051,303865,329271,447883,505409,429657,423585,609847,1069268,26031,40944,35027,11289,29256,..,..,..
Lithuania,LTU,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,..,..,0.98463495,1.044964456,1.678708686,1.623940572,1.759969125,1.868893873,1.59032552,1.590774568,1.58828376,2.319069917,2.683213262,2.498023523,2.475330323,..,..,..,..,..
Lithuania,LTU,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,..,..,56,84,212,90,22,51,40,25,93,249,273,408,122,122,491,333,298,..
Lithuania,LTU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,..,..,..
Lithuania,LTU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,..,..,..,..,..,..,..,..,5.994788589,3.177095844,2.27014872,1.044385475,0.969155212,0.510408711,0.395781798,..,..,..
Lithuania,LTU,Battle-related deaths (number of people),VC.BTL.DETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,..,..,..,..,0,0,100,100,100,100,100,99.98,99.98,99.98,99.98,99.98,0,..,..,..
Lithuania,LTU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.4,15.1,9.8,9,8.6,8.8,8.8,8.9,9.1,9.3,9.9,9.8,9.5,8.9,8.4,8.3,7.8,7.2,..,..
Lithuania,LTU,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,296.6146001,293.2781556,323.8125108,363.2764575,..,..
Lithuania,LTU,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,..,5.279551738,-66.81111431,-64.71956563,-64.49349843,-64.43171432,-62.79884859,-60.25915159,-59.58664438,-55.67374574,-54.92521845,-60.24121427,-60.08689636,-59.29509172,-59.41581275,-59.19458578,-62.50160155,-63.04513087,-63.07189449,..
Lithuania,LTU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,2.802191652,..,..,..,..,..,..,..,..,..,..,3.414327994,..,..,..,..,..,..
Lithuania,LTU,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,..,0.114419997,0.31141001,0.250869989,0.110509999,..,..,..,..,..,0.141169995,0.374949992,0.584789991,0.513300002,0.543550014,0.023639999,0.101680003,..,..
Lithuania,LTU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,..,..,..,..,..,..,23.73226568,25.48168517,27.91866872,29.8857732,29.68315448,13.60687579,11.448653,10.06010386,10.40572644,11.11299134,10.55165997,10.25148667,..,..
Lithuania,LTU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5,..
Lithuania,LTU,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,11.43000031,11.77672314,11.94151626,12.81000042,12.8212244,13.08976297,12.84833205,..,..
Lithuania,LTU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,4023.43207,4022.532662,2516.905098,2695.906268,2848.913483,3087.655148,3196.849344,3187.03108,3353.304327,3564.206785,3733.626495,4203.840164,4330.66118,4421.418176,4438.918875,4698.794323,4416.170282,4202.905364,..,..
Lithuania,LTU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,38.50732964,44.01295767,47.32906771,46.15346418,48.52333854,55.11377693,57.16507121,51.60057855,57.58072613,73.60634061,74.52951913,76.81872299,72.4346855,79.62993851,86.77984929,76.4728581,74.11398075,..
Lithuania,LTU,Forest area (% of land area),AG.LND.FRST.ZS,..,..,32.22718571,32.46649649,32.70580728,32.94511806,33.18442884,33.42373963,33.66305041,33.9023612,34.14439569,35.05691161,35.0950024,35.13254551,35.14851485,35.18074908,35.20364354,35.23015016,..,..
Lithuania,LTU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-5.675662997,3.418622066,6.484126652,6.719839451,10.55189596,6.502035361,7.731446758,7.395481225,11.07792826,2.599461546,4.612243103,4.918367801,4.677351835,0.042815834,6.380016062,2.53752574,0.342262716,2.772631245,..
Kenya,KEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,1.7,2.1,2.5,3,3.4,3.9,4.5,5.1,5.8,16.1,18,20.6,23.05,25.8,28.5,31.6,..,..
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,15.2,17,18.9,16,22.6,24.5,26.4,28.3,30.3,55.8,61.2,69.7,71.5,76.5,76,76.2,..,..
